name;author;source;licence;adapted

adventure;syncopika;https://opengameart.org/content/adventure;https://creativecommons.org/licenses/by/3.0/;yes
Valiant Genericus (Effort Noises);tinsin;https://opengameart.org/content/generic-hero-effort-noises;https://creativecommons.org/licenses/by/3.0/;yes
Law in the City;Alexandr Zhelanov https://soundcloud.com/alexandr-zhelanov;https://opengameart.org/content/law-in-the-city;https://creativecommons.org/licenses/by/4.0/;yes
Scientific;Alexandr Zhelanov https://soundcloud.com/alexandr-zhelanov https://www.youtube.com/channel/UCxmng6_DMIayDwkiWGVzVRQ?view_as=subscriber;https://opengameart.org/content/scientific;https://creativecommons.org/licenses/by/4.0/;no
shots;Michel Baradari;https://opengameart.org/content/chaingun-pistol-rifle-shotgun-shots;https://creativecommons.org/licenses/by/3.0/;no
battle_sound_effects_0;artisticdude;https://opengameart.org/content/battle-sound-effects;https://creativecommons.org/licenses/by/3.0/;no
death sound effect;Badre-Eddine;https://opengameart.org/content/hurt-death-sound-effect-for-character;https://creativecommons.org/publicdomain/zero/1.0/;yes
htis;CGEffex http://freesound.org/people/CGEffex/sounds/98341/;https://opengameart.org/content/punch-slap-n-kick; https://creativecommons.org/licenses/by/3.0/; no
applause-clapping-church-crowd-immersive;eXpl0it3r;https://opengameart.org/content/applause-in-a-large-hall-or-church;https://creativecommons.org/publicdomain/zero/1.0/;yes
battleThemeA;cynicmusic cynicmusic.com pixelsphere.org;https://opengameart.org/content/battle-theme-a;https://creativecommons.org/publicdomain/zero/1.0/;no
Memories;Frenchyboy;https://opengameart.org/content/memories-0;https://creativecommons.org/publicdomain/zero/1.0/;no
SummerChallenge;Ted Kerr 2019;https://opengameart.org/content/summer-resort-theme;https://creativecommons.org/licenses/by/3.0/;no
SoundPack01;wobbleboxx.com;https://opengameart.org/content/level-up-power-up-coin-get-13-sounds;https://creativecommons.org/publicdomain/zero/1.0/;no
Another Volcano;Marty Opsahl https://soundcloud.com/megapixelmusic;https://opengameart.org/content/another-volcano;https://creativecommons.org/licenses/by/3.0/;no
MorningAttack;Vishwa Jai;https://opengameart.org/content/doom-in-the-morning;https://creativecommons.org/publicdomain/zero/1.0/;yes
Death Is Just Another Path;Otto Halmén;https://opengameart.org/content/death-is-just-another-path;https://opengameart.org/content/death-is-just-another-path;no